time,open,high,low,close,tick_volume,spread,real_volume
1648771200,17.01,17.16,13.9,14.16,1743091,0,9232031130000
1651363200,14.0,15.01,12.07,13.68,1701970,0,9067458010000
1654041600,13.88,13.98,10.9,11.14,1376241,0,7715372670000
1656633600,11.1,14.79,10.61,14.68,1356686,0,8453418730000
1659312000,14.66,16.69,14.55,15.25,1593809,0,10034326100000
1661990400,15.1,15.75,11.19,11.23,1719086,0,11353630540000
1664582400,11.38,13.52,11.13,13.38,1535720,0,10209288080000
1667260800,13.36,14.67,13.02,13.91,1217764,0,7072685780000
1669852800,14.09,14.37,10.9,11.63,1324498,0,7846213920000
1672531200,11.81,13.57,11.57,13.52,1319790,0,7753736630000
1675209600,13.52,14.61,11.75,12.07,1641476,0,9924703190000
1677628800,12.36,13.19,11.12,12.59,1852599,0,11314552460000
1680307200,12.53,13.09,11.44,11.88,1342198,0,7719221270000
1682899200,12.01,12.79,11.24,12.0,1569253,0,10100947980000
1685577600,12.07,15.24,11.84,15.11,1487124,0,9036960500000
1688169600,15.15,15.43,12.91,13.23,1409185,0,8397924220000
1690848000,13.15,13.45,11.58,12.13,1279026,0,7378764900000
1693526400,12.16,12.92,11.82,12.43,1108357,0,6362063270000
1696118400,12.38,12.45,9.69,9.75,1396180,0,8608855960000
1698796800,9.83,10.96,9.67,10.28,1166338,0,7017995260000
1701388800,10.29,12.51,10.22,12.19,1191852,0,6897932430000
1704067200,12.04,12.39,10.82,11.72,1273909,0,7574533110000
1706745600,11.82,13.08,11.54,12.43,1400895,0,8003270960000
1709251200,12.54,13.31,12.01,13.25,966147,0,5798739020000
1711929600,13.33,13.95,11.95,12.15,1303693,0,8189705320000
1714521600,12.16,12.77,11.48,12.15,1017548,0,6175597110000
1717200000,12.26,12.63,11.55,12.54,915201,0,5888753370000
1719792000,12.54,14.86,10.72,10.82,1576974,0,10317538370000
1722470400,10.87,11.37,9.49,11.19,1189995,0,8623236450000
1725148800,11.08,11.31,10.13,10.55,615973,1,479487226
1727740800,10.72,11.39,10.18,10.28,732321,1,528461469
1730419200,10.34,11.52,10.2,11.14,689035,1,491551543
1733011200,11.21,11.24,10.39,10.62,227848,0,171029854
